,15131,78158
215,71909,10908
216,49256,76543
217,87879,10005
218,18958,99715
219,33674,26386
220,88578,16115
221,38184,92129
222,23162,94507
223,94689,27138
224,50188,23236
225,73498,92740
226,80946,14521
227,20434,62129
228,96199,54539
229,97269,74914
230,75164,56409
231,63802,46857
232,85851,39471
233,13886,21128
234,82608,43875
235,47631,35057
236,41955,83525
237,41722,49739
238,80210,73310
239,72032,29229
240,99588,19663
241,75340,68873
242,72016,64274
243,87488,54539
244,54539,89609
245,92646,49227
246,92493,92129
247,51219,62129
248,94294,66940
249,35339,82701
250,60625,25516
251,71044,38554
252,65428,57974
253,47057,38596
254,79756,64175
255,25694,69619
256,96457,13207
257,13870,77151
258,61984,33464
259,14480,55364
260,31924,14216
261,33548,35819
262,66463,52868
263,36209,21830
264,38146,62515
265,43109,93643
266,39326,73266
267,67802,83861
268,80246,93894
269,32312,70030
270,67288,20405
271,11591,84936
272,17019,49240
273,45637,58014
274,63060,82442
275,96782,87050
276,49139,57325
277,13278,38425
278,10622,58014
279,70609,55364
280,37494,57385
281,50253,77151
282,30770,88060
283,48235,27041
284,77045,46924
285,36713,60284
286,36647,73266
287,21913,37190
288,84907,76623
289,83140,58014
290,40049,38908
291,96240,49588
292,91375,20178
293,44851,53224
294,85957,77812
295,31141,62129
296,73469,75003
297,54379,73141
298,90253,26386
299,37361,83861
300,77965,86183
301,44088,98740
302,65748,44088
303,92167,27474
304,34050,39710
305,53845,35057
306,39439,70030
307,56254,80666
308,81736,35057
309,22481,41619
310,94515,47057
311,40865,47438
312,94090,94307
313,25243,99699
314,70472,44088
315,92113,36000
316,84122,44088
317,75877,47057
318,46967,98088
319,89199,62129
320,45284,61031
321,25894,24258
322,81546,49603
323,18098,62129
324,35845,58264
325,30136,84643
326,79351,85199
327,91114,29608
328,10796,73266
329,80157,13958
330,13776,34799
331,32867,82701
332,72659,83316
333,70346,32104
334,82707,26071
335,93643,88453
336,56487,73266
337,17461,80601
338,74189,35819
339,89473,80231
340,89648,29082
341,21185,91451
342,45756,24922
343,13958,92570
344,49766,46924
345,71014,15764
346,78218,47624
347,36683,52276
348,12805,18935
349,89940,75569
350,92619,62002
351,26109,85199
352,85199,47057
353,74790,77094
354,61077,44984
355,21011,24325
356,91299,35819
357,13145,92130
358,74616,25253
359,68242,57168
360,88099,29422
361,98816,50970
362,92627,32104
363,60619,54539
364,18592,99696
365,97961,85199
366,37971,86471
367,76808,65290
368,26960,44025
369,21159,18065
370,21820,51610
371,87396,13958
372,51739,69215
373,36150,67927
374,36428,77167
375,81368,85546
376,36684,74331
377,87943,57127
378,83934,39052
379,93369,57168
380,25759,23805
381,90295,85638
382,33748,35057
383,23965,56026
384,18136,47566
385,97136,87779
386,11751,98740
387,77584,72651
388,47535,14216
389,35157,40935
390,38666,20886
391,49584,34431
392,70553,57619
393,41660,90498
394,34861,70030
395,97329,82739
396,83411,32104
397,74970,72228
398,36340,26425
399,40870,92129
400,96019,35057
401,35996,62535
402,35750,17289
403,44648,26386
404,14216,68378
405,41202,76995
406,28670,44197
407,12646,99599
408,30412,91461
409,18596,74757
410,38836,73266
411,63846,70555
412,84175,23131
413,36177,25567
414,76440,41764
415,89469,30895
416,28950,43948
417,93707,70030
418,93976,73909
419,15262,31486
420,86652,23131
421,65454,88787
422,76119,46924
423,44343,98685
424,29424,46693
425,97543,32104
426,73497,76030
427,87093,58014
428,49551,16528
429,45191,73266
430,21283,34339
431,27141,73266
432,20255,57702
433,48823,35838
434,74136,57964
435,18194,80112
436,37794,96240
437,46775,98740
438,52309,42291
439,12317,39213
440,98269,96240
441,82747,89172
442,28972,54579
443,40842,85851
444,24862,46924
445,90115,29514
446,97189,85851
447,60429,85233
448,35563,99130
449,42174,69145
450,62129,12281
451,87307,72432
452,54431,47057
453,32208,43948
454,36159,92837
455,92813,16218
456,30956,87764
457,81881,16847
458,82389,14216
459,81627,46027
460,12133,59074
461,83315,88230
462,17677,82701
463,11309,32104
464,24911,35927
465,77700,98147
466,43948,53055
467,82304,22718
468,94870,55364
469,67575,85199
470,49305,93182
471,15751,15044
472,66060,26171
473,30935,41610
474,28356,32565
475,18811,12256
476,64019,23131
477,34225,17638
478,15964,13958
479,21017,44088
480,34116,81436
481,52676,32857
482,95338,16079
483,78527,46924
484,93795,85851
485,12924,64525
486,85065,79359
487,45073,47356
488,30072,43948
489,98834,32104
490,57372,73266
491,83929,79432
492,90423,82701
493,22832,98740
494,48430,59406
495,73629,93643
496,26263,94506
497,94074,14216
498,26414,98740
499,56951,55364
500,50559,43948
501,63550,31546
502,90368,63317
503,32146,46924
504,47438,57185
505,58449,43948
506,47368,85851
507,32574,15690
508,83798,92129
509,14115,48770
510,81573,66940
511,51307,52219
512,13174,47057
513,36828,67828
514,38526,44088
515,44179,54539
516,52115,89989
517,78802,62495
518,34661,14805
519,32323,59466
520,27132,30442
521,79104,63409
522,63502,46386
523,97485,55364
524,93125,45846
525,22160,14216
526,94150,21543
527,16960,75856
528,41717,62129
529,16797,13241
530,16286,31406
531,81133,73266
532,62615,36776
533,38433,47057
534,17558,77268
535,31164,99409
536,98740,37183
537,16053,46924
538,83861,14216
539,89754,14216
540,90249,14216
541,45631,44427
542,79425,67927
543,41085,82701
544,61288,93605
545,66018,98413
546,22664,49595
547,48544,78826
548,24552,57029
549,13795,59246
550,17199,69353
551,33038,93573
552,37670,50912
553,22237,40613
554,93548,92536
555,71344,90698
556,95400,97202
557,16457,29422
558,79172,12325
559,87249,25678
560,32398,57782
561,42920,65021
562,20491,17593
563,29343,15560
564,51134,56929
565,87045,18964
566,16859,67927
567,50451,23131
568,88013,99947
569,79869,26386
570,17158,13958
571,47399,93686
572,32349,20008
573,88683,69537
574,49926,93643
575,86432,89768
576,82719,35057
577,56739,92864
578,95877,43633
579,69037,59576
580,95747,72337
581,15660,23131
582,13684,67506
583,87807,24977
584,45695,44088
585,14570,23131
586,45507,96958
587,79826,46189
588,86233,96377
589,57051,96244
590,16227,70718
591,66940,87229
592,16621,77709
593,67736,19049
594,36049,43120
595,27324,13585
596,89099,46924
597,80234,73266
598,30105,82570
599,42497,85199
600,20275,47057
601,84842,67828
602,18545,31766
603,22010,89576
604,44172,33974
605,11085,32612
606,48341,28004
607,94313,14216
608,65788,46924
609,27317,92981
610,68318,70030
611,56329,60704
612,29327,91745
613,53630,57702
614,24518,82701
615,96364,81945
616,95503,47057
617,41188,40000
618,16708,20405
619,31294,30878
620,33264,98085
621,64245,96240
622,14497,26073
623,77398,21420
624,16427,72248
625,26395,46924
626,22620,93997
627,17321,12686
628,26035,72607
629,58951,54463
630,38225,30571
631,89267,35057
632,30825,66365
633,98399,67169
634,80743,46924
635,80557,91342
636,35024,72939
637,53184,15700
638,71001,47443
639,97339,33591
640,96913,78805
641,42578,73266
642,53465,82681
643,74719,75723
644,96923,58014
645,92916,71872
646,26229,14521
647,42662,96240
648,81620,47057
649,46956,29400
650,39197,98476
651,30330,45605
652,57702,20507
653,82062,62129
654,37754,10380
655,97560,40495
656,45988,54539
657,42413,38989
658,58786,26969
659,41724,60576
660,55364,69527
661,64004,44088
662,87772,31704
663,65614,23131
664,44781,53388
665,78305,40217
666,32629,36036
667,78238,51508
668,61460,14216
669,46112,96240
670,61748,90420
671,41222,62129
672,14622,23131
673,12228,54539
674,95242,60673
675,46228,69114
676,80525,75711
677,45245,46098
678,67491,58014
679,52166,83687
680,38396,67828
681,31358,43948
682,55034,37772
683,56827,46924
684,79835,93798
685,89347,58014
686,82227,18043
687,63832,32104
688,62004,10083
689,26506,92531
690,69651,29640
691,72433,82716
692,40513,63891
693,18717,92129
694,30405,23131
695,74331,44088
696,72157,67849
697,74767,54539
698,30847,35819
699,18242,20586
700,69756,67844
701,72005,57702
702,92985,86192
703,35084,52372
704,73020,92992
705,48804,93643
706,75034,57702
707,67280,55364
708,13826,44088
709,58014,28935
710,26965,41912
711,32785,70621
712,67828,88974
713,24669,12565
714,83563,46791
715,24440,98740
716,85814,99882
717,96689,89250
718,83424,99433
719,86597,92129
720,35057,19703
721,90254,75605
722,27503,45668
723,80689,57779
724,85142,43542
725,47144,32104
726,81029,55196
727,88306,85851
728,44736,91531
729,44675,70030
730,56611,75708
731,99455,48355
732,76675,46015
733,58779,43948
734,87090,93643
735,28546,78920
736,60401,31361
737,25679,91728
738,40839,57168
739,36746,43948
740,79132,82701
741,66132,61087
742,68819,36117
743,36538,12235
744,27205,76760
745,24399,23139
746,44240,45473
747,35819,96240
748,12508,99554
749,76682,43948
750,92401,85296
751,86766,41706
752,96643,27209
753,53030,85851
754,10426,29096
755,47697,20405
756,68686,82701
757,55276,98740
758,88787,14521
759,68667,54484
760,88551,82701
761,86242,93860
762,33643,17327
763,19228,49220
764,94076,63820
765,66464,95977
766,32020,57329
767,39310,47057
768,45805,82325
769,62915,96018
770,13011,60296
771,88834,40986
772,82701,44460
773,79163,37444
774,57767,47909
775,21571,56724
776,48453,66228
777,92533,20251
778,71231,43948
779,26769,54336
780,71828,96240
781,14891,30317
782,92462,74559
783,57405,62129
784,64689,45242
785,14673,75437
786,37392,12408
787,88004,68886
788,11897,85851
789,35121,19747
790,65978,46924
791,59214,35819
792,69160,82701
793,86199,78031
794,84182,79283
795,46746,70030
796,93280,31194
797,78233,42061
798,31751,44088
799,92129,41105
800,81082,44088
801,69123,85851
802,20505,66320
803,41538,43948
804,64819,28581
805,20294,73266
806,48547,31547
807,47633,15882
808,96892,58776
809,22150,41774
810,18701,93643
811,61229,42035
812,78415,32104
813,66928,65236
814,35556,79431
815,33671,62129
816,96468,87478
817,50427,58131
818,25039,99100
819,80962,32104
820,69045,62129
821,32104,75645
822,59924,23131
823,18240,70030
824,88763,58014
825,60348,43980
826,20717,51159
827,81946,79855
828,20510,68239
829,37273,43948
830,99008,54986
831,13046,53592
832,87961,14216
833,16856,87339
834,13289,29653
835,81110,65830
836,25077,66583
837,53154,96594
838,22799,77151
839,44901,98740
840,80985,40597
841,39889,66837
842,32167,67057
843,46469,19487
844,42664,77151
845,28717,67927
846,48319,23742
847,20405,63271
848,99160,68742
849,37312,86445
850,49441,84577
851,42459,77403
852,76352,25777
853,42818,73266
854,96351,89012
855,55426,69362
856,44989,93643
857,68109,67066
858,87896,81830
859,73110,89259
860,41918,35819
861,46805,73266
862,61826,43948
863,32096,54757
864,26386,22428
865,70847,17131
866,63265,63742
867,66807,18158
868,29422,36229
869,56355,37525
870,22577,46924
871,99518,44088
872,16441,66929
873,26818,76171
874,18649,85851
875,76731,61187
876,30590,91024
877,90428,58160
878,16076,67927
879,13553,37915
880,91615,32416
881,36190,63670
882,49749,49989
883,62226,58313
884,25075,46700
885,30720,89560
886,20085,28489
887,95853,74174
888,94343,35819
889,18518,80833
890,98111,86331
891,63474,33979
892,24642,67927
893,76558,23131
894,26475,58014
895,80306,58014
896,92346,48193
897,20270,95402
898,23131,43948
899,23638,60254
900,86655,57352
901,58258,45523
902,34945,61572
903,33250,96240
904,84692,11925
905,74810,80726
906,50681,52269
907,79610,73266
908,30424,17447
909,14983,82701
910,37491,93643
911,36576,73266
912,31400,92479
913,74498,62129
914,19311,85090
915,78393,54666
916,44638,35057
917,71239,35819
918,33836,77370
919,87014,35057
920,49752,31956
921,89676,85199
922,31538,14521
923,54931,18949
924,78700,85199
925,57624,83620
926,55476,42249
927,36922,23131
928,83133,96903
929,33766,38715
930,90922,92129
931,84184,85199
932,84873,98740
933,30986,46301
934,66208,66981
935,76128,44088
936,54499,46924
937,11089,73266
938,63966,66921
939,24165,60756
940,65766,13958
941,98485,92129
942,31557,32104
943,62423,44088
944,54888,52459
945,61829,75842
946,26964,63459
947,63722,32104
948,71060,45395
949,60721,85952
950,14154,56940
951,71805,82701
952,74964,80051
953,23705,85348
954,27306,30788
955,57026,35057
956,95790,30087
957,47055,67481
958,20026,75622
959,92097,12792
960,22924,38758
961,30454,42427
962,77910,99903
963,20644,30998
964,51589,39385
965,83392,76104
966,92902,93643
967,44609,42484
968,82287,20771
969,88814,15393
970,39082,73266
971,37969,85199
972,57693,96633
973,43012,93643
974,29944,78876
975,68317,66940
976,33738,58014
977,17794,98740
978,41165,47180
979,14871,41373
980,42771,43164
981,82391,29055
982,79484,53019
983,58189,29804
984,19422,82701
985,48923,83734
986,76839,85851
987,71377,23080
988,50558,44088
989,25393,45650
990,39296,84954
991,84189,57168
992,85258,22386
993,30912,13039
994,77881,48653
995,67451,46924
996,47082,89946
997,91778,85851
998,99760,37363
